altitude_km,sigma_h_km,sigma_v_km,delta,rho_top_kgm3,T_top_K,H_km,patch_air_mass_kg,column_mass_kg,dT_insitu_K,E_insitu_J,q_column,column_attainable,eps_column,dT_column_at_top_K,E_column_expansion_J,ratio_column_to_insitu,E_column_per_day_W,orbital_removal_W_per_kg
400.0,100.0,30.0,5.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,19983.78130884985,14195631.926322747,912.4340257037642,18306817556.531178,0.3869471267653354,True,0.6311806756955197,691.092869845542,5015235552255.572,273.9545274195583,58046707.78073579,0.03178897887630796
400.0,100.0,30.0,20.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,19983.78130884985,14195631.926322747,1042.7817436614448,20922077207.464203,0.6574929447183119,True,1.9196478863116262,2101.862458609247,15253138598759.336,729.045134835732,176540956.00415897,0.03178897887630796
400.0,200.0,30.0,1.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,79935.1252353994,56782527.70529099,547.4604154222585,43936362135.67483,0.14969158224051002,True,0.1760438672769324,192.7540974239407,5595237597861.71,127.34867717504012,64759694.41969572,0.03178897887630796
400.0,200.0,30.0,5.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,79935.1252353994,56782527.70529099,912.4340257037642,73227270226.12471,0.3869471267653354,True,0.6311806756955197,691.092869845542,20060942209022.29,273.9545274195583,232186831.12294316,0.03178897887630796
400.0,200.0,30.0,20.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,79935.1252353994,56782527.70529099,1042.7817436614448,83688308829.85681,0.6574929447183119,True,1.9196478863116262,2101.862458609247,61012554395037.34,729.045134835732,706163824.0166359,0.03178897887630796
400.0,1000.0,30.0,1.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,1998378.1308849847,1419563192.6322749,547.4604154222585,1098409053391.8705,0.14969158224051002,True,0.1760438672769324,192.7540974239407,139880939946542.73,127.34867717504014,1618992360.4923928,0.03178897887630796
400.0,1000.0,30.0,5.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,1998378.1308849847,1419563192.6322749,912.4340257037642,1830681755653.1174,0.3869471267653354,True,0.6311806756955197,691.092869845542,501523555225557.2,273.95452741955836,5804670778.073579,0.03178897887630796
400.0,1000.0,30.0,20.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,1998378.1308849847,1419563192.6322749,1042.7817436614448,2092207720746.42,0.6574929447183119,True,1.9196478863116262,2101.862458609247,1525313859875933.5,729.0451348357321,17654095600.415897,0.03178897887630796
500.0,100.0,30.0,1.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,4205.417104972358,14208946.29918039,548.4991663775356,2315894447.4525566,0.1214658699852851,True,0.1382597053836151,151.67066629303312,1100609663342.4043,475.24172120756873,12738537.770166716,0.006544361275555814
500.0,100.0,30.0,5.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,4205.417104972358,14208946.29918039,914.1652772958928,3859824079.0875945,0.3139847190294334,True,0.45769347671849436,502.08898087306034,3643446671085.2266,943.941121779437,42169521.65607901,0.006544361275555814
500.0,100.0,30.0,20.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,4205.417104972358,14208946.29918039,1044.7603169095917,4411227518.957251,0.5335166570093475,True,1.1436992660636935,1254.6361880450704,9104362407649.762,2063.9067852482704,105374564.90335372,0.006544361275555814
500.0,200.0,30.0,1.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,16821.668419889433,56835785.19672156,548.4991663775356,9263577789.810226,0.1214658699852851,True,0.1382597053836151,151.67066629303312,4402438653369.617,475.24172120756873,50954151.08066686,0.006544361275555814
500.0,200.0,30.0,5.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,16821.668419889433,56835785.19672156,914.1652772958928,15439296316.350378,0.3139847190294334,True,0.45769347671849436,502.08898087306034,14573786684340.906,943.941121779437,168678086.62431604,0.006544361275555814
500.0,200.0,30.0,20.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,16821.668419889433,56835785.19672156,1044.7603169095917,17644910075.829002,0.5335166570093475,True,1.1436992660636935,1254.6361880450704,36417449630599.05,2063.9067852482704,421498259.6134149,0.006544361275555814
500.0,1000.0,30.0,1.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,420541.71049723576,1420894629.918039,548.4991663775356,231589444745.2556,0.1214658699852851,True,0.1382597053836151,151.67066629303312,110060966334240.42,475.2417212075688,1273853777.0166717,0.006544361275555814
500.0,1000.0,30.0,5.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,420541.71049723576,1420894629.918039,914.1652772958928,385982407908.7594,0.3139847190294334,True,0.45769347671849436,502.08898087306034,364344667108522.6,943.9411217794371,4216952165.6079006,0.006544361275555814
500.0,1000.0,30.0,20.0,8.900574087158153e-13,1096.9983327550713,66.59051914071307,420541.71049723576,1420894629.918039,1044.7603169095917,441122751895.725,0.5335166570093475,True,1.1436992660636935,1254.6361880450704,910436240764976.0,2063.9067852482704,10537456490.335371,0.006544361275555814
600.0,100.0,30.0,1.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,995.1511039561357,14211885.347156044,548.6491059580364,548172718.5326016,0.10332199213861679,True,0.11522753009750325,126.43896273949579,917636200705.8953,1673.991006269533,10620789.360021936,0.0015154590760545626
600.0,100.0,30.0,5.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,995.1511039561357,14211885.347156044,914.4151765967274,913621197.554336,0.2670834751781305,True,0.3644118615596004,399.868484090357,2902062691535.2075,3176.4397534817626,33588688.55943527,0.0015154590760545626
600.0,100.0,30.0,20.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,995.1511039561357,14211885.347156044,1045.0459161105455,1044138511.4906695,0.4538229862266566,True,0.830908249124866,911.7541360310304,6617094788172.075,6337.372595064181,76586745.23347309,0.0015154590760545626
600.0,200.0,30.0,1.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,3980.6044158245427,56847541.38862418,548.6491059580364,2192690874.1304064,0.10332199213861679,True,0.11522753009750325,126.43896273949579,3670544802823.581,1673.991006269533,42483157.44008774,0.0015154590760545626
600.0,200.0,30.0,5.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,3980.6044158245427,56847541.38862418,914.4151765967274,3654484790.217344,0.2670834751781305,True,0.3644118615596004,399.868484090357,11608250766140.83,3176.4397534817626,134354754.23774108,0.0015154590760545626
600.0,200.0,30.0,20.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,3980.6044158245427,56847541.38862418,1045.0459161105455,4176554045.962678,0.4538229862266566,True,0.830908249124866,911.7541360310304,26468379152688.3,6337.372595064181,306346980.93389237,0.0015154590760545626
600.0,1000.0,30.0,1.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,99515.11039561358,1421188534.7156043,548.6491059580364,54817271853.26016,0.10332199213861679,True,0.11522753009750325,126.43896273949579,91763620070589.53,1673.991006269533,1062078936.0021937,0.0015154590760545626
600.0,1000.0,30.0,5.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,99515.11039561358,1421188534.7156043,914.4151765967274,91362119755.43361,0.2670834751781305,True,0.3644118615596004,399.868484090357,290206269153520.7,3176.4397534817613,3358868855.9435263,0.0015154590760545626
600.0,1000.0,30.0,20.0,2.106192063138296e-13,1097.298211916073,71.54982032311244,99515.11039561358,1421188534.7156043,1045.0459161105455,104413851149.06697,0.4538229862266566,True,0.830908249124866,911.7541360310304,661709478817207.4,6337.372595064178,7658674523.347307,0.0015154590760545626
