altitude_km,sigma_h_km,sigma_v_km,delta,rho_top_kgm3,T_top_K,H_km,patch_air_mass_kg,column_mass_kg,dT_insitu_K,E_insitu_J,q_column,column_attainable,eps_column,dT_column_at_top_K,E_column_expansion_J,ratio_column_to_insitu,E_column_per_day_W,orbital_removal_W_per_kg
300.0,100.0,30.0,1.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,117657.68459879454,14124138.930653533,539.8357065561918,63769882574.34444,0.1932449998873313,True,0.23953368725368093,258.61767460520144,1884588497614.2468,29.552955431855295,21812366.870535266,0.19138228498527873
300.0,100.0,30.0,5.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,117657.68459879454,14124138.930653533,899.726177593653,106283137623.9074,0.4995310781606154,True,0.9981260700957769,1077.6481845646174,7852995261076.816,73.88749934035029,90891148.85505575,0.19138228498527873
300.0,100.0,30.0,20.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,117657.68459879454,14124138.930653533,1028.2584886784605,121466442998.7513,0.8487933798700049,True,5.613467050187894,6060.6999025361665,44165292806254.8,363.60077496225705,511172370.44276386,0.19138228498527873
300.0,200.0,30.0,1.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,470630.73839517817,56496555.72261413,539.8357065561918,255079530297.37775,0.1932449998873313,True,0.23953368725368093,258.61767460520144,7538353990456.987,29.552955431855295,87249467.48214106,0.19138228498527873
300.0,200.0,30.0,5.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,470630.73839517817,56496555.72261413,899.726177593653,425132550495.6296,0.4995310781606154,True,0.9981260700957769,1077.6481845646174,31411981044307.266,73.88749934035029,363564595.420223,0.19138228498527873
300.0,200.0,30.0,20.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,470630.73839517817,56496555.72261413,1028.2584886784605,485865771995.0052,0.8487933798700049,True,5.613467050187894,6060.6999025361665,176661171225019.2,363.60077496225705,2044689481.7710555,0.19138228498527873
300.0,1000.0,30.0,1.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,11765768.459879452,1412413893.0653532,539.8357065561918,6376988257434.442,0.1932449998873313,True,0.23953368725368093,258.61767460520144,188458849761424.66,29.5529554318553,2181236687.053526,0.19138228498527873
300.0,1000.0,30.0,5.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,11765768.459879452,1412413893.0653532,899.726177593653,10628313762390.738,0.4995310781606154,True,0.9981260700957769,1077.6481845646174,785299526107681.5,73.88749934035029,9089114885.505573,0.19138228498527873
300.0,1000.0,30.0,20.0,2.4901713969272043e-11,1079.6714131123836,50.18284854252741,11765768.459879452,1412413893.0653532,1028.2584886784605,12146644299875.127,0.8487933798700049,True,5.613467050187894,6060.6999025361665,4416529280625479.0,363.6007749622571,51117237044.276375,0.19138228498527873
400.0,100.0,30.0,1.0,4.22947645004534e-12,1094.920830844517,60.46860494113775,19983.78130884985,14195631.926322747,547.4604154222585,10984090533.918707,0.14969158224051002,True,0.1760438672769324,192.7540974239407,1398809399465.4275,127.34867717504012,16189923.60492393,0.03178897887630796
