scenario,ephemeris,window_s,time_fraction_in_patch,time_in_patch_s,peak_delta,delta_eff_in_patch,encounter_count,extra_dv_ms,natural_dv_ms
fixed_pulse,unperturbed,7200.0,0.044444444444444446,320.0,3.152373845385395,0.794087384309907,1,0.003979302941983355,0.11275121348569754
tracking_bound_perfect,unperturbed,86400.0,1.0,86400.0,5.0,4.999999999999884,1,6.86949960209988,1.373899920420008
tracking_simulated,drag_updated,86400.0,1.0,86400.0,4.999999483040234,2.3118586862456545,1,3.5302560080827443,1.5270206734892207
