regime,alt_km,delta,sigma_h_km,sigma_v_km,kappa_h,advection_ms,patch_air_mass_kg,heating_fraction,E_thermal_min_J,tau_diff_s,tau_adv_s,transport_survivable_1h,classification
low,250,5.0,200.0,30.0,100000.0,0.0,517141.3763296573,0.8333333333333334,43267495152.91466,200000.0,inf,True,thermodynamically_conceivable
low,250,5.0,200.0,30.0,100000.0,100.0,517141.3763296573,0.8333333333333334,43267495152.91466,200000.0,2000.0,False,transport_limited
low,250,5.0,200.0,30.0,100000.0,300.0,517141.3763296573,0.8333333333333334,43267495152.91466,200000.0,666.6666666666666,False,transport_limited
low,250,5.0,200.0,30.0,1000000.0,0.0,517141.3763296573,0.8333333333333334,43267495152.91466,20000.0,inf,True,thermodynamically_conceivable
low,250,5.0,200.0,30.0,1000000.0,100.0,517141.3763296573,0.8333333333333334,43267495152.91466,20000.0,2000.0,False,transport_limited
low,250,5.0,200.0,30.0,1000000.0,300.0,517141.3763296573,0.8333333333333334,43267495152.91466,20000.0,666.6666666666666,False,transport_limited
low,250,5.0,1000.0,30.0,1000.0,0.0,12928534.40824143,0.8333333333333334,1081687378822.8665,500000000.0,inf,True,thermodynamically_conceivable
low,250,5.0,1000.0,30.0,1000.0,100.0,12928534.40824143,0.8333333333333334,1081687378822.8665,500000000.0,10000.0,True,thermodynamically_conceivable
low,250,5.0,1000.0,30.0,1000.0,300.0,12928534.40824143,0.8333333333333334,1081687378822.8665,500000000.0,3333.3333333333335,False,transport_limited
low,250,5.0,1000.0,30.0,100000.0,0.0,12928534.40824143,0.8333333333333334,1081687378822.8665,5000000.0,inf,True,thermodynamically_conceivable
low,250,5.0,1000.0,30.0,100000.0,100.0,12928534.40824143,0.8333333333333334,1081687378822.8665,5000000.0,10000.0,True,thermodynamically_conceivable
low,250,5.0,1000.0,30.0,100000.0,300.0,12928534.40824143,0.8333333333333334,1081687378822.8665,5000000.0,3333.3333333333335,False,transport_limited
low,250,5.0,1000.0,30.0,1000000.0,0.0,12928534.40824143,0.8333333333333334,1081687378822.8665,500000.0,inf,True,thermodynamically_conceivable
low,250,5.0,1000.0,30.0,1000000.0,100.0,12928534.40824143,0.8333333333333334,1081687378822.8665,500000.0,10000.0,True,thermodynamically_conceivable
low,250,5.0,1000.0,30.0,1000000.0,300.0,12928534.40824143,0.8333333333333334,1081687378822.8665,500000.0,3333.3333333333335,False,transport_limited
low,250,20.0,50.0,30.0,1000.0,0.0,32321.33602060358,0.9523809523809523,3090535368.0653324,1250000.0,inf,True,thermodynamically_conceivable
low,250,20.0,50.0,30.0,1000.0,100.0,32321.33602060358,0.9523809523809523,3090535368.0653324,1250000.0,500.0,False,transport_limited
low,250,20.0,50.0,30.0,1000.0,300.0,32321.33602060358,0.9523809523809523,3090535368.0653324,1250000.0,166.66666666666666,False,transport_limited
low,250,20.0,50.0,30.0,100000.0,0.0,32321.33602060358,0.9523809523809523,3090535368.0653324,12500.0,inf,True,thermodynamically_conceivable
low,250,20.0,50.0,30.0,100000.0,100.0,32321.33602060358,0.9523809523809523,3090535368.0653324,12500.0,500.0,False,transport_limited
low,250,20.0,50.0,30.0,100000.0,300.0,32321.33602060358,0.9523809523809523,3090535368.0653324,12500.0,166.66666666666666,False,transport_limited
low,250,20.0,50.0,30.0,1000000.0,0.0,32321.33602060358,0.9523809523809523,3090535368.0653324,1250.0,inf,False,transport_limited
low,250,20.0,50.0,30.0,1000000.0,100.0,32321.33602060358,0.9523809523809523,3090535368.0653324,1250.0,500.0,False,transport_limited
low,250,20.0,50.0,30.0,1000000.0,300.0,32321.33602060358,0.9523809523809523,3090535368.0653324,1250.0,166.66666666666666,False,transport_limited
low,250,20.0,200.0,30.0,1000.0,0.0,517141.3763296573,0.9523809523809523,49448565889.04532,20000000.0,inf,True,thermodynamically_conceivable
low,250,20.0,200.0,30.0,1000.0,100.0,517141.3763296573,0.9523809523809523,49448565889.04532,20000000.0,2000.0,False,transport_limited
low,250,20.0,200.0,30.0,1000.0,300.0,517141.3763296573,0.9523809523809523,49448565889.04532,20000000.0,666.6666666666666,False,transport_limited
low,250,20.0,200.0,30.0,100000.0,0.0,517141.3763296573,0.9523809523809523,49448565889.04532,200000.0,inf,True,thermodynamically_conceivable
low,250,20.0,200.0,30.0,100000.0,100.0,517141.3763296573,0.9523809523809523,49448565889.04532,200000.0,2000.0,False,transport_limited
low,250,20.0,200.0,30.0,100000.0,300.0,517141.3763296573,0.9523809523809523,49448565889.04532,200000.0,666.6666666666666,False,transport_limited
low,250,20.0,200.0,30.0,1000000.0,0.0,517141.3763296573,0.9523809523809523,49448565889.04532,20000.0,inf,True,thermodynamically_conceivable
low,250,20.0,200.0,30.0,1000000.0,100.0,517141.3763296573,0.9523809523809523,49448565889.04532,20000.0,2000.0,False,transport_limited
low,250,20.0,200.0,30.0,1000000.0,300.0,517141.3763296573,0.9523809523809523,49448565889.04532,20000.0,666.6666666666666,False,transport_limited
low,250,20.0,1000.0,30.0,1000.0,0.0,12928534.40824143,0.9523809523809523,1236214147226.1328,500000000.0,inf,True,thermodynamically_conceivable
low,250,20.0,1000.0,30.0,1000.0,100.0,12928534.40824143,0.9523809523809523,1236214147226.1328,500000000.0,10000.0,True,thermodynamically_conceivable
low,250,20.0,1000.0,30.0,1000.0,300.0,12928534.40824143,0.9523809523809523,1236214147226.1328,500000000.0,3333.3333333333335,False,transport_limited
low,250,20.0,1000.0,30.0,100000.0,0.0,12928534.40824143,0.9523809523809523,1236214147226.1328,5000000.0,inf,True,thermodynamically_conceivable
low,250,20.0,1000.0,30.0,100000.0,100.0,12928534.40824143,0.9523809523809523,1236214147226.1328,5000000.0,10000.0,True,thermodynamically_conceivable
low,250,20.0,1000.0,30.0,100000.0,300.0,12928534.40824143,0.9523809523809523,1236214147226.1328,5000000.0,3333.3333333333335,False,transport_limited
low,250,20.0,1000.0,30.0,1000000.0,0.0,12928534.40824143,0.9523809523809523,1236214147226.1328,500000.0,inf,True,thermodynamically_conceivable
low,250,20.0,1000.0,30.0,1000000.0,100.0,12928534.40824143,0.9523809523809523,1236214147226.1328,500000.0,10000.0,True,thermodynamically_conceivable
low,250,20.0,1000.0,30.0,1000000.0,300.0,12928534.40824143,0.9523809523809523,1236214147226.1328,500000.0,3333.3333333333335,False,transport_limited
low,300,1.0,50.0,30.0,1000.0,0.0,7457.462781465669,0.5,374364631.62957656,1250000.0,inf,True,thermodynamically_conceivable
low,300,1.0,50.0,30.0,1000.0,100.0,7457.462781465669,0.5,374364631.62957656,1250000.0,500.0,False,transport_limited
low,300,1.0,50.0,30.0,1000.0,300.0,7457.462781465669,0.5,374364631.62957656,1250000.0,166.66666666666666,False,transport_limited
low,300,1.0,50.0,30.0,100000.0,0.0,7457.462781465669,0.5,374364631.62957656,12500.0,inf,True,thermodynamically_conceivable
low,300,1.0,50.0,30.0,100000.0,100.0,7457.462781465669,0.5,374364631.62957656,12500.0,500.0,False,transport_limited
low,300,1.0,50.0,30.0,100000.0,300.0,7457.462781465669,0.5,374364631.62957656,12500.0,166.66666666666666,False,transport_limited
low,300,1.0,50.0,30.0,1000000.0,0.0,7457.462781465669,0.5,374364631.62957656,1250.0,inf,False,transport_limited
low,300,1.0,50.0,30.0,1000000.0,100.0,7457.462781465669,0.5,374364631.62957656,1250.0,500.0,False,transport_limited
low,300,1.0,50.0,30.0,1000000.0,300.0,7457.462781465669,0.5,374364631.62957656,1250.0,166.66666666666666,False,transport_limited
low,300,1.0,200.0,30.0,1000.0,0.0,119319.4045034507,0.5,5989834106.073225,20000000.0,inf,True,thermodynamically_conceivable
low,300,1.0,200.0,30.0,1000.0,100.0,119319.4045034507,0.5,5989834106.073225,20000000.0,2000.0,False,transport_limited
low,300,1.0,200.0,30.0,1000.0,300.0,119319.4045034507,0.5,5989834106.073225,20000000.0,666.6666666666666,False,transport_limited
low,300,1.0,200.0,30.0,100000.0,0.0,119319.4045034507,0.5,5989834106.073225,200000.0,inf,True,thermodynamically_conceivable
low,300,1.0,200.0,30.0,100000.0,100.0,119319.4045034507,0.5,5989834106.073225,200000.0,2000.0,False,transport_limited
low,300,1.0,200.0,30.0,100000.0,300.0,119319.4045034507,0.5,5989834106.073225,200000.0,666.6666666666666,False,transport_limited
low,300,1.0,200.0,30.0,1000000.0,0.0,119319.4045034507,0.5,5989834106.073225,20000.0,inf,True,thermodynamically_conceivable
low,300,1.0,200.0,30.0,1000000.0,100.0,119319.4045034507,0.5,5989834106.073225,20000.0,2000.0,False,transport_limited
low,300,1.0,200.0,30.0,1000000.0,300.0,119319.4045034507,0.5,5989834106.073225,20000.0,666.6666666666666,False,transport_limited
low,300,1.0,1000.0,30.0,1000.0,0.0,2982985.1125862673,0.5,149745852651.83063,500000000.0,inf,True,thermodynamically_conceivable
low,300,1.0,1000.0,30.0,1000.0,100.0,2982985.1125862673,0.5,149745852651.83063,500000000.0,10000.0,True,thermodynamically_conceivable
low,300,1.0,1000.0,30.0,1000.0,300.0,2982985.1125862673,0.5,149745852651.83063,500000000.0,3333.3333333333335,False,transport_limited
low,300,1.0,1000.0,30.0,100000.0,0.0,2982985.1125862673,0.5,149745852651.83063,5000000.0,inf,True,thermodynamically_conceivable
low,300,1.0,1000.0,30.0,100000.0,100.0,2982985.1125862673,0.5,149745852651.83063,5000000.0,10000.0,True,thermodynamically_conceivable
low,300,1.0,1000.0,30.0,100000.0,300.0,2982985.1125862673,0.5,149745852651.83063,5000000.0,3333.3333333333335,False,transport_limited
low,300,1.0,1000.0,30.0,1000000.0,0.0,2982985.1125862673,0.5,149745852651.83063,500000.0,inf,True,thermodynamically_conceivable
low,300,1.0,1000.0,30.0,1000000.0,100.0,2982985.1125862673,0.5,149745852651.83063,500000.0,10000.0,True,thermodynamically_conceivable
low,300,1.0,1000.0,30.0,1000000.0,300.0,2982985.1125862673,0.5,149745852651.83063,500000.0,3333.3333333333335,False,transport_limited
low,300,5.0,50.0,30.0,1000.0,0.0,7457.462781465669,0.8333333333333334,623941052.715961,1250000.0,inf,True,thermodynamically_conceivable
low,300,5.0,50.0,30.0,1000.0,100.0,7457.462781465669,0.8333333333333334,623941052.715961,1250000.0,500.0,False,transport_limited
low,300,5.0,50.0,30.0,1000.0,300.0,7457.462781465669,0.8333333333333334,623941052.715961,1250000.0,166.66666666666666,False,transport_limited
low,300,5.0,50.0,30.0,100000.0,0.0,7457.462781465669,0.8333333333333334,623941052.715961,12500.0,inf,True,thermodynamically_conceivable
low,300,5.0,50.0,30.0,100000.0,100.0,7457.462781465669,0.8333333333333334,623941052.715961,12500.0,500.0,False,transport_limited
low,300,5.0,50.0,30.0,100000.0,300.0,7457.462781465669,0.8333333333333334,623941052.715961,12500.0,166.66666666666666,False,transport_limited
low,300,5.0,50.0,30.0,1000000.0,0.0,7457.462781465669,0.8333333333333334,623941052.715961,1250.0,inf,False,transport_limited
low,300,5.0,50.0,30.0,1000000.0,100.0,7457.462781465669,0.8333333333333334,623941052.715961,1250.0,500.0,False,transport_limited
low,300,5.0,50.0,30.0,1000000.0,300.0,7457.462781465669,0.8333333333333334,623941052.715961,1250.0,166.66666666666666,False,transport_limited
low,300,5.0,200.0,30.0,1000.0,0.0,119319.4045034507,0.8333333333333334,9983056843.455376,20000000.0,inf,True,thermodynamically_conceivable
low,300,5.0,200.0,30.0,1000.0,100.0,119319.4045034507,0.8333333333333334,9983056843.455376,20000000.0,2000.0,False,transport_limited
low,300,5.0,200.0,30.0,1000.0,300.0,119319.4045034507,0.8333333333333334,9983056843.455376,20000000.0,666.6666666666666,False,transport_limited
low,300,5.0,200.0,30.0,100000.0,0.0,119319.4045034507,0.8333333333333334,9983056843.455376,200000.0,inf,True,thermodynamically_conceivable
low,300,5.0,200.0,30.0,100000.0,100.0,119319.4045034507,0.8333333333333334,9983056843.455376,200000.0,2000.0,False,transport_limited
low,300,5.0,200.0,30.0,100000.0,300.0,119319.4045034507,0.8333333333333334,9983056843.455376,200000.0,666.6666666666666,False,transport_limited
low,300,5.0,200.0,30.0,1000000.0,0.0,119319.4045034507,0.8333333333333334,9983056843.455376,20000.0,inf,True,thermodynamically_conceivable
low,300,5.0,200.0,30.0,1000000.0,100.0,119319.4045034507,0.8333333333333334,9983056843.455376,20000.0,2000.0,False,transport_limited
low,300,5.0,200.0,30.0,1000000.0,300.0,119319.4045034507,0.8333333333333334,9983056843.455376,20000.0,666.6666666666666,False,transport_limited
low,300,5.0,1000.0,30.0,1000.0,0.0,2982985.1125862673,0.8333333333333334,249576421086.38434,500000000.0,inf,True,thermodynamically_conceivable
low,300,5.0,1000.0,30.0,1000.0,100.0,2982985.1125862673,0.8333333333333334,249576421086.38434,500000000.0,10000.0,True,thermodynamically_conceivable
low,300,5.0,1000.0,30.0,1000.0,300.0,2982985.1125862673,0.8333333333333334,249576421086.38434,500000000.0,3333.3333333333335,False,transport_limited
low,300,5.0,1000.0,30.0,100000.0,0.0,2982985.1125862673,0.8333333333333334,249576421086.38434,5000000.0,inf,True,thermodynamically_conceivable
low,300,5.0,1000.0,30.0,100000.0,100.0,2982985.1125862673,0.8333333333333334,249576421086.38434,5000000.0,10000.0,True,thermodynamically_conceivable
low,300,5.0,1000.0,30.0,100000.0,300.0,2982985.1125862673,0.8333333333333334,249576421086.38434,5000000.0,3333.3333333333335,False,transport_limited
low,300,5.0,1000.0,30.0,1000000.0,0.0,2982985.1125862673,0.8333333333333334,249576421086.38434,500000.0,inf,True,thermodynamically_conceivable
low,300,5.0,1000.0,30.0,1000000.0,100.0,2982985.1125862673,0.8333333333333334,249576421086.38434,500000.0,10000.0,True,thermodynamically_conceivable
low,300,5.0,1000.0,30.0,1000000.0,300.0,2982985.1125862673,0.8333333333333334,249576421086.38434,500000.0,3333.3333333333335,False,transport_limited
low,300,20.0,50.0,30.0,1000.0,0.0,7457.462781465669,0.9523809523809523,713075488.8182411,1250000.0,inf,True,thermodynamically_conceivable
low,300,20.0,50.0,30.0,1000.0,100.0,7457.462781465669,0.9523809523809523,713075488.8182411,1250000.0,500.0,False,transport_limited
low,300,20.0,50.0,30.0,1000.0,300.0,7457.462781465669,0.9523809523809523,713075488.8182411,1250000.0,166.66666666666666,False,transport_limited
low,300,20.0,50.0,30.0,100000.0,0.0,7457.462781465669,0.9523809523809523,713075488.8182411,12500.0,inf,True,thermodynamically_conceivable
low,300,20.0,50.0,30.0,100000.0,100.0,7457.462781465669,0.9523809523809523,713075488.8182411,12500.0,500.0,False,transport_limited
low,300,20.0,50.0,30.0,100000.0,300.0,7457.462781465669,0.9523809523809523,713075488.8182411,12500.0,166.66666666666666,False,transport_limited
low,300,20.0,50.0,30.0,1000000.0,0.0,7457.462781465669,0.9523809523809523,713075488.8182411,1250.0,inf,False,transport_limited
low,300,20.0,50.0,30.0,1000000.0,100.0,7457.462781465669,0.9523809523809523,713075488.8182411,1250.0,500.0,False,transport_limited
low,300,20.0,50.0,30.0,1000000.0,300.0,7457.462781465669,0.9523809523809523,713075488.8182411,1250.0,166.66666666666666,False,transport_limited
low,300,20.0,200.0,30.0,1000.0,0.0,119319.4045034507,0.9523809523809523,11409207821.091858,20000000.0,inf,True,thermodynamically_conceivable
low,300,20.0,200.0,30.0,1000.0,100.0,119319.4045034507,0.9523809523809523,11409207821.091858,20000000.0,2000.0,False,transport_limited
low,300,20.0,200.0,30.0,1000.0,300.0,119319.4045034507,0.9523809523809523,11409207821.091858,20000000.0,666.6666666666666,False,transport_limited
low,300,20.0,200.0,30.0,100000.0,0.0,119319.4045034507,0.9523809523809523,11409207821.091858,200000.0,inf,True,thermodynamically_conceivable
low,300,20.0,200.0,30.0,100000.0,100.0,119319.4045034507,0.9523809523809523,11409207821.091858,200000.0,2000.0,False,transport_limited
low,300,20.0,200.0,30.0,100000.0,300.0,119319.4045034507,0.9523809523809523,11409207821.091858,200000.0,666.6666666666666,False,transport_limited
