control,case,extra_deltav_ms,a_drop_km,encounter_count
high_altitude_750km,F_target_750,0.009639378896450588,0.16567118284910975,4
high_altitude_750km,F_protected_750,0.00240786109380417,0.04137358804109681,4
high_B_200,neg_highB,0.17140585867074654,2.8035713440476684,4
near_identical_trajectory,neg_twin,0.40510996536175253,7.225945603874607,4
diffuse_3000km,A_target_highAm_400,7.153734488881941,280.0,4
diffuse_3000km,A_protected_400,0.4087186521366824,7.235218449349304,4
short_60s,A_target_highAm_400,0.005363954056334848,280.0,1
poor_timing_fixed_pulse,A_target_highAm_400,0.0,280.0,0
