param,S1_frozen,ST_frozen,S1_conf_frozen,ST_conf_frozen,n_base,n_model_evals,S1_rerun,ST_rerun,S1_conf_rerun,ST_conf_rerun,S1_abs_diff,ST_abs_diff,max_response_rel_diff
delta_max,0.508631746167976,0.5448044684477334,0.0586079646799749,0.0537028522165962,1024,8192,0.7467333974986703,0.4966729784862098,0.3574983283757804,0.22557596746025538,0.23810165133069428,0.048131489961523666,1.43070827231348e-06
sigma_h_km,0.0873773666579044,0.1483041017017149,0.0350004744576922,0.0204931551563346,1024,8192,0.0797626592663864,0.20575895410396627,0.1585900948883618,0.1746226316307808,0.007614707391517997,0.05745485240225137,1.43070827231348e-06
sigma_v_km,-0.0002569995949426,0.0013409300095762,0.0028691942890478,0.0003432602689882,1024,8192,0.006515471200068697,0.0010224336806416434,0.012042674352902155,0.001552042177200649,0.006772470795011297,0.0003184963289345566,1.43070827231348e-06
rho_scale,0.0223688403022095,0.0229154564048655,0.0150915594937231,0.0025507432052356,1024,8192,0.08679201427070528,0.02489182313552793,0.10298244310711321,0.016240311233564505,0.06442317396849578,0.00197636673066243,1.43070827231348e-06
B_scale,0.0086959009977652,0.0103169464522311,0.0090087430917335,0.000978377135963,1024,8192,-0.003672759099279436,0.012591249895124819,0.07681715561276989,0.008568031007415895,0.012368660097044636,0.0022743034428937183,1.43070827231348e-06
duration_h,0.2911401685437607,0.3471569391568515,0.0468148891004406,0.0366747752800336,1024,8192,0.3900245746440789,0.38767215364129254,0.3094757880708951,0.2582756533770828,0.09888440610031823,0.040515214484441064,1.43070827231348e-06
