altitude_km,sigma_h_km,sigma_v_km,delta,dT_assumed_K,air_mass_kg,E_min_J,orbital_energy_removal_W_per_kg,E_min_over_orbital_per_day
500.0,100.0,10.0,0.5,333.3333333333333,2279.5469601687405,762888382.669805,0.010642115975345562,829696.5257404255
500.0,100.0,10.0,2.0,666.6666666666666,2279.5469601687405,1525776765.33961,0.010642115975345562,1659393.051480851
500.0,100.0,10.0,10.0,909.090909090909,2279.5469601687405,2080604680.0085592,0.010642115975345562,2262808.7065647966
500.0,100.0,30.0,0.5,333.3333333333333,6838.64088050622,2288665148.009415,0.010642115975345562,2489089.5772212762
500.0,100.0,30.0,2.0,666.6666666666666,6838.64088050622,4577330296.01883,0.010642115975345562,4978179.1544425525
500.0,100.0,30.0,10.0,909.090909090909,6838.64088050622,6241814040.025677,0.010642115975345562,6788426.1196943885
500.0,300.0,10.0,0.5,333.3333333333333,20515.92264151866,6865995444.028244,0.010642115975345562,7467268.731663828
500.0,300.0,10.0,2.0,666.6666666666666,20515.92264151866,13731990888.056488,0.010642115975345562,14934537.463327656
500.0,300.0,10.0,10.0,909.090909090909,20515.92264151866,18725442120.07703,0.010642115975345562,20365278.35908317
500.0,300.0,30.0,0.5,333.3333333333333,61547.76792455598,20597986332.084732,0.010642115975345562,22401806.19499148
500.0,300.0,30.0,2.0,666.6666666666666,61547.76792455598,41195972664.169464,0.010642115975345562,44803612.38998296
500.0,300.0,30.0,10.0,909.090909090909,61547.76792455598,56176326360.23109,0.010642115975345562,61095835.0772495
500.0,1000.0,10.0,0.5,333.3333333333333,227954.696016874,76288838266.9805,0.010642115975345562,82969652.57404254
500.0,1000.0,10.0,2.0,666.6666666666666,227954.696016874,152577676533.961,0.010642115975345562,165939305.1480851
500.0,1000.0,10.0,10.0,909.090909090909,227954.696016874,208060468000.8559,0.010642115975345562,226280870.65647963
500.0,1000.0,30.0,0.5,333.3333333333333,683864.0880506219,228866514800.94147,0.010642115975345562,248908957.7221276
500.0,1000.0,30.0,2.0,666.6666666666666,683864.0880506219,457733029601.88293,0.010642115975345562,497817915.4442552
500.0,1000.0,30.0,10.0,909.090909090909,683864.0880506219,624181404002.5676,0.010642115975345562,678842611.9694388
600.0,100.0,10.0,0.5,333.3333333333333,629.3925025615333,210636690.8572598,0.0028753982484139786,847856.3496532992
600.0,100.0,10.0,2.0,666.6666666666666,629.3925025615333,421273381.7145196,0.0028753982484139786,1695712.6993065984
600.0,100.0,10.0,10.0,909.090909090909,629.3925025615333,574463702.3379813,0.0028753982484139786,2312335.499054453
600.0,100.0,30.0,0.5,333.3333333333333,1888.1775076845997,631910072.5717794,0.0028753982484139786,2543569.0489598974
600.0,100.0,30.0,2.0,666.6666666666666,1888.1775076845997,1263820145.1435587,0.0028753982484139786,5087138.097919795
600.0,100.0,30.0,10.0,909.090909090909,1888.1775076845997,1723391107.0139437,0.0028753982484139786,6937006.497163356
600.0,300.0,10.0,0.5,333.3333333333333,5664.532523053799,1895730217.715338,0.0028753982484139786,7630707.146879692
600.0,300.0,10.0,2.0,666.6666666666666,5664.532523053799,3791460435.430676,0.0028753982484139786,15261414.293759383
600.0,300.0,10.0,10.0,909.090909090909,5664.532523053799,5170173321.041831,0.0028753982484139786,20811019.49149007
600.0,300.0,30.0,0.5,333.3333333333333,16993.597569161397,5687190653.146013,0.0028753982484139786,22892121.44063907
600.0,300.0,30.0,2.0,666.6666666666666,16993.597569161397,11374381306.292027,0.0028753982484139786,45784242.88127814
600.0,300.0,30.0,10.0,909.090909090909,16993.597569161397,15510519963.12549,0.0028753982484139786,62433058.4744702
600.0,1000.0,10.0,0.5,333.3333333333333,62939.250256153326,21063669085.72598,0.0028753982484139786,84785634.96532992
600.0,1000.0,10.0,2.0,666.6666666666666,62939.250256153326,42127338171.45196,0.0028753982484139786,169571269.93065983
600.0,1000.0,10.0,10.0,909.090909090909,62939.250256153326,57446370233.79813,0.0028753982484139786,231233549.90544522
600.0,1000.0,30.0,0.5,333.3333333333333,188817.75076845995,63191007257.177925,0.0028753982484139786,254356904.8959897
600.0,1000.0,30.0,2.0,666.6666666666666,188817.75076845995,126382014514.35585,0.0028753982484139786,508713809.7919794
600.0,1000.0,30.0,10.0,909.090909090909,188817.75076845995,172339110701.39435,0.0028753982484139786,693700649.7163355
