regime,altitude_km,B_kgm2,lifetime0_days,mult_for_1pct_reduction,mult_for_10pct_reduction,mult_for_50pct_reduction,mult_for_90pct_reduction
low,200,1.0,33.082426940963686,1.1,1.5,2.0,30.0
low,200,3.0,99.24728082289104,1.1,1.5,2.0,30.0
low,200,5.0,165.41213470481836,1.1,1.5,2.0,30.0
low,200,10.0,330.8242694096367,1.1,1.5,2.0,30.0
low,200,30.0,992.4728082289105,1.1,1.5,2.0,30.0
low,200,50.0,1654.1213470481819,1.1,1.5,2.0,30.0
low,200,80.0,2646.5941552770937,1.1,1.5,2.0,30.0
low,200,120.0,3969.891232915642,1.1,1.5,2.0,30.0
low,200,300.0,9924.728082289108,1.1,1.5,2.0,10.0
low,250,1.0,234.63376323784806,1.1,1.5,2.0,10.0
low,250,3.0,703.9012897135462,1.1,1.5,2.0,30.0
low,250,5.0,1173.168816189242,1.1,1.5,2.0,10.0
low,250,10.0,2346.337632378484,1.1,1.5,2.0,10.0
low,250,30.0,7039.012897135444,1.1,1.5,2.0,30.0
low,250,50.0,11731.688161892396,1.1,1.5,2.0,30.0
low,250,80.0,18770.701059027873,1.1,1.5,2.0,10.0
low,250,120.0,28156.051588541777,1.1,1.5,2.0,30.0
low,250,300.0,70390.12897135461,1.1,1.5,2.0,10.0
low,300,1.0,1184.4933451821184,1.1,1.5,2.0,30.0
low,300,3.0,3553.4800355463653,1.1,1.5,2.0,10.0
low,300,5.0,5922.4667259105945,1.1,1.5,2.0,10.0
low,300,10.0,11844.933451821189,1.1,1.5,2.0,10.0
low,300,30.0,35534.80035546359,1.1,1.5,2.0,30.0
low,300,50.0,59224.66725910598,1.1,1.5,2.0,10.0
low,300,80.0,inf,,,,
low,300,120.0,inf,,,,
low,300,300.0,inf,,,,
low,350,1.0,4871.221041580778,1.1,1.5,2.0,10.0
low,350,3.0,14613.663124742312,1.1,1.5,2.0,10.0
low,350,5.0,24356.105207903864,1.1,1.5,2.0,30.0
low,350,10.0,48712.21041580773,1.1,1.5,2.0,30.0
low,350,30.0,inf,,,,
low,350,50.0,inf,,,,
low,350,80.0,inf,,,,
low,350,120.0,inf,,,,
low,350,300.0,inf,,,,
low,400,1.0,17442.714578626365,1.1,1.5,2.0,30.0
low,400,3.0,52328.14373587937,1.1,1.5,2.0,10.0
low,400,5.0,inf,,,,
low,400,10.0,inf,,,,
low,400,30.0,inf,,,,
low,400,50.0,inf,,,,
low,400,80.0,inf,,,,
low,400,120.0,inf,,,,
low,400,300.0,inf,,,,
low,450,1.0,56091.18906115463,1.1,1.5,2.0,10.0
low,450,3.0,inf,,,,
low,450,5.0,inf,,,,
low,450,10.0,inf,,,,
low,450,30.0,inf,,,,
low,450,50.0,inf,,,,
low,450,80.0,inf,,,,
low,450,120.0,inf,,,,
low,450,300.0,inf,,,,
low,500,1.0,inf,,,,
low,500,3.0,inf,,,,
low,500,5.0,inf,,,,
low,500,10.0,inf,,,,
low,500,30.0,inf,,,,
low,500,50.0,inf,,,,
low,500,80.0,inf,,,,
low,500,120.0,inf,,,,
low,500,300.0,inf,,,,
low,550,1.0,inf,,,,
low,550,3.0,inf,,,,
low,550,5.0,inf,,,,
low,550,10.0,inf,,,,
low,550,30.0,inf,,,,
low,550,50.0,inf,,,,
low,550,80.0,inf,,,,
low,550,120.0,inf,,,,
low,550,300.0,inf,,,,
low,600,1.0,inf,,,,
low,600,3.0,inf,,,,
low,600,5.0,inf,,,,
low,600,10.0,inf,,,,
low,600,30.0,inf,,,,
low,600,50.0,inf,,,,
low,600,80.0,inf,,,,
low,600,120.0,inf,,,,
low,600,300.0,inf,,,,
low,700,1.0,inf,,,,
low,700,3.0,inf,,,,
low,700,5.0,inf,,,,
low,700,10.0,inf,,,,
low,700,30.0,inf,,,,
low,700,50.0,inf,,,,
low,700,80.0,inf,,,,
low,700,120.0,inf,,,,
low,700,300.0,inf,,,,
low,800,1.0,inf,,,,
low,800,3.0,inf,,,,
low,800,5.0,inf,,,,
low,800,10.0,inf,,,,
low,800,30.0,inf,,,,
low,800,50.0,inf,,,,
low,800,80.0,inf,,,,
low,800,120.0,inf,,,,
low,800,300.0,inf,,,,
moderate,200,1.0,23.859664888539154,1.1,1.5,2.0,30.0
moderate,200,3.0,71.57899466561759,1.1,1.5,2.0,30.0
moderate,200,5.0,119.29832444269596,1.1,1.5,2.0,10.0
moderate,200,10.0,238.59664888539191,1.1,1.5,2.0,10.0
moderate,200,30.0,715.7899466561761,1.1,1.5,2.0,10.0
moderate,200,50.0,1192.9832444269596,1.1,1.5,2.0,10.0
moderate,200,80.0,1908.7731910831353,1.1,1.5,2.0,10.0
moderate,200,120.0,2863.1597866247043,1.1,1.5,2.0,10.0
moderate,200,300.0,7157.8994665617565,1.1,1.5,2.0,30.0
moderate,250,1.0,124.16588912919565,1.1,1.5,2.0,30.0
moderate,250,3.0,372.4976673875872,1.1,1.5,2.0,10.0
moderate,250,5.0,620.8294456459782,1.1,1.5,2.0,10.0
moderate,250,10.0,1241.6588912919565,1.1,1.5,2.0,10.0
moderate,250,30.0,3724.97667387587,1.1,1.5,2.0,30.0
