regime,altitude_km,B_kgm2,lifetime0_days,mult_for_1pct_reduction,mult_for_10pct_reduction,mult_for_50pct_reduction,mult_for_90pct_reduction
moderate,250,50.0,6208.294456459788,1.1,1.5,2.0,10.0
moderate,250,80.0,9933.271130335652,1.1,1.5,2.0,10.0
moderate,250,120.0,14899.90669550348,1.1,1.5,2.0,30.0
moderate,250,300.0,37249.76673875878,1.1,1.5,2.0,10.0
moderate,300,1.0,461.61247906990934,1.1,1.5,2.0,10.0
moderate,300,3.0,1384.837437209724,1.1,1.5,2.0,10.0
moderate,300,5.0,2308.062395349542,1.1,1.5,2.0,30.0
moderate,300,10.0,4616.124790699084,1.1,1.5,2.0,30.0
moderate,300,30.0,13848.374372097272,1.1,1.5,2.0,10.0
moderate,300,50.0,23080.623953495422,1.1,1.5,2.0,10.0
moderate,300,80.0,36928.99832559267,1.1,1.5,2.0,30.0
moderate,300,120.0,55393.49748838909,1.1,1.5,2.0,10.0
moderate,300,300.0,inf,,,,
moderate,350,1.0,1430.3430766463268,1.1,1.5,2.0,30.0
moderate,350,3.0,4291.029229938969,1.1,1.5,2.0,30.0
moderate,350,5.0,7151.715383231673,1.1,1.5,2.0,10.0
moderate,350,10.0,14303.430766463345,1.1,1.5,2.0,10.0
moderate,350,30.0,42910.29229938975,1.1,1.5,2.0,10.0
moderate,350,50.0,71517.15383231646,1.1,1.5,2.0,30.0
moderate,350,80.0,inf,,,,
moderate,350,120.0,inf,,,,
moderate,350,300.0,inf,,,,
moderate,400,1.0,3939.471720032318,1.1,1.5,2.0,30.0
moderate,400,3.0,11818.415160096987,1.1,1.5,2.0,10.0
moderate,400,5.0,19697.358600161602,1.1,1.5,2.0,10.0
moderate,400,10.0,39394.717200323204,1.1,1.5,2.0,10.0
moderate,400,30.0,inf,,,,
moderate,400,50.0,inf,,,,
moderate,400,80.0,inf,,,,
moderate,400,120.0,inf,,,,
moderate,400,300.0,inf,,,,
moderate,450,1.0,9987.11971406945,1.1,1.5,2.0,10.0
moderate,450,3.0,29961.359142208294,1.1,1.5,2.0,30.0
moderate,450,5.0,49935.598570347116,1.1,1.5,2.0,30.0
moderate,450,10.0,inf,,,,
moderate,450,30.0,inf,,,,
moderate,450,50.0,inf,,,,
moderate,450,80.0,inf,,,,
moderate,450,120.0,inf,,,,
moderate,450,300.0,inf,,,,
moderate,500,1.0,23801.33531212861,1.1,1.5,2.0,10.0
moderate,500,3.0,71404.00593638615,1.1,1.5,2.0,10.0
moderate,500,5.0,inf,,,,
moderate,500,10.0,inf,,,,
moderate,500,30.0,inf,,,,
moderate,500,50.0,inf,,,,
moderate,500,80.0,inf,,,,
moderate,500,120.0,inf,,,,
moderate,500,300.0,inf,,,,
moderate,550,1.0,53978.412142140034,1.1,1.5,2.0,30.0
moderate,550,3.0,inf,,,,
moderate,550,5.0,inf,,,,
moderate,550,10.0,inf,,,,
moderate,550,30.0,inf,,,,
moderate,550,50.0,inf,,,,
moderate,550,80.0,inf,,,,
moderate,550,120.0,inf,,,,
moderate,550,300.0,inf,,,,
moderate,600,1.0,inf,,,,
moderate,600,3.0,inf,,,,
moderate,600,5.0,inf,,,,
moderate,600,10.0,inf,,,,
moderate,600,30.0,inf,,,,
moderate,600,50.0,inf,,,,
moderate,600,80.0,inf,,,,
moderate,600,120.0,inf,,,,
moderate,600,300.0,inf,,,,
moderate,700,1.0,inf,,,,
moderate,700,3.0,inf,,,,
moderate,700,5.0,inf,,,,
moderate,700,10.0,inf,,,,
moderate,700,30.0,inf,,,,
moderate,700,50.0,inf,,,,
moderate,700,80.0,inf,,,,
moderate,700,120.0,inf,,,,
moderate,700,300.0,inf,,,,
moderate,800,1.0,inf,,,,
moderate,800,3.0,inf,,,,
moderate,800,5.0,inf,,,,
moderate,800,10.0,inf,,,,
moderate,800,30.0,inf,,,,
moderate,800,50.0,inf,,,,
moderate,800,80.0,inf,,,,
moderate,800,120.0,inf,,,,
moderate,800,300.0,inf,,,,
high,200,1.0,17.380076455739182,1.1,1.5,2.0,10.0
high,200,3.0,52.14022936721749,1.1,1.5,2.0,10.0
high,200,5.0,86.90038227869582,1.1,1.5,2.0,30.0
high,200,10.0,173.80076455739163,1.1,1.5,2.0,30.0
high,200,30.0,521.4022936721744,1.1,1.5,2.0,30.0
high,200,50.0,869.0038227869601,1.1,1.5,2.0,10.0
high,200,80.0,1390.406116459133,1.1,1.5,2.0,30.0
high,200,120.0,2085.6091746886977,1.1,1.5,2.0,30.0
high,200,300.0,5214.022936721748,1.1,1.5,2.0,10.0
high,250,1.0,74.95259227378756,1.1,1.5,2.0,10.0
high,250,3.0,224.85777682136248,1.1,1.5,2.0,10.0
high,250,5.0,374.762961368937,1.1,1.5,2.0,30.0
high,250,10.0,749.525922737874,1.1,1.5,2.0,30.0
high,250,30.0,2248.5777682136236,1.1,1.5,2.0,30.0
high,250,50.0,3747.6296136893675,1.1,1.5,2.0,30.0
high,250,80.0,5996.207381902992,1.1,1.5,2.0,30.0
high,250,120.0,8994.311072854494,1.1,1.5,2.0,30.0
high,250,300.0,22485.77768213619,1.1,1.5,2.0,30.0
high,300,1.0,233.0292958412321,1.1,1.5,2.0,30.0
high,300,3.0,699.0878875236973,1.1,1.5,2.0,30.0
high,300,5.0,1165.1464792061624,1.1,1.5,2.0,10.0
high,300,10.0,2330.292958412325,1.1,1.5,2.0,10.0
high,300,30.0,6990.87887523698,1.1,1.5,2.0,10.0
high,300,50.0,11651.46479206164,1.1,1.5,2.0,10.0
high,300,80.0,18642.3436672986,1.1,1.5,2.0,10.0
high,300,120.0,27963.51550094792,1.1,1.5,2.0,10.0
high,300,300.0,69908.78875236995,1.1,1.5,2.0,10.0
high,350,1.0,612.6319774075541,1.1,1.5,2.0,10.0
high,350,3.0,1837.8959322226697,1.1,1.5,2.0,10.0
high,350,5.0,3063.1598870377716,1.1,1.5,2.0,10.0
high,350,10.0,6126.319774075543,1.1,1.5,2.0,10.0
high,350,30.0,18378.959322226652,1.1,1.5,2.0,30.0
high,350,50.0,30631.598870377602,1.1,1.5,2.0,30.0
high,350,80.0,49010.558192604345,1.1,1.5,2.0,10.0
high,350,120.0,inf,,,,
high,350,300.0,inf,,,,
high,400,1.0,1450.7238094215065,1.1,1.5,2.0,10.0
high,400,3.0,4352.171428264531,1.1,1.5,2.0,10.0
high,400,5.0,7253.619047107536,1.1,1.5,2.0,10.0
high,400,10.0,14507.238094215072,1.1,1.5,2.0,10.0
high,400,30.0,43521.71428264507,1.1,1.5,2.0,30.0
high,400,50.0,72536.19047107527,1.1,1.5,2.0,30.0
high,400,80.0,inf,,,,
high,400,120.0,inf,,,,
high,400,300.0,inf,,,,
high,450,1.0,3192.545686645376,1.1,1.5,2.0,10.0
high,450,3.0,9577.63705993606,1.1,1.5,2.0,30.0
high,450,5.0,15962.728433226794,1.1,1.5,2.0,30.0
high,450,10.0,31925.456866453587,1.1,1.5,2.0,30.0
high,450,30.0,inf,,,,
high,450,50.0,inf,,,,
high,450,80.0,inf,,,,
high,450,120.0,inf,,,,
high,450,300.0,inf,,,,
high,500,1.0,6647.761980014608,1.1,1.5,2.0,10.0
high,500,3.0,19943.28594004375,1.1,1.5,2.0,10.0
high,500,5.0,33238.80990007286,1.1,1.5,2.0,30.0
high,500,10.0,66477.61980014572,1.1,1.5,2.0,30.0
high,500,30.0,inf,,,,
high,500,50.0,inf,,,,
high,500,80.0,inf,,,,
high,500,120.0,inf,,,,
high,500,300.0,inf,,,,
high,550,1.0,13251.084316816976,1.1,1.5,2.0,30.0
high,550,3.0,39753.25295045115,1.1,1.5,2.0,30.0
high,550,5.0,66255.42158408549,1.1,1.5,2.0,10.0
high,550,10.0,inf,,,,
high,550,30.0,inf,,,,
high,550,50.0,inf,,,,
high,550,80.0,inf,,,,
high,550,120.0,inf,,,,
high,550,300.0,inf,,,,
high,600,1.0,25488.693513115595,1.1,1.5,2.0,30.0
high,600,3.0,inf,,,,
high,600,5.0,inf,,,,
high,600,10.0,inf,,,,
high,600,30.0,inf,,,,
high,600,50.0,inf,,,,
high,600,80.0,inf,,,,
high,600,120.0,inf,,,,
high,600,300.0,inf,,,,
high,700,1.0,inf,,,,
high,700,3.0,inf,,,,
high,700,5.0,inf,,,,
high,700,10.0,inf,,,,
high,700,30.0,inf,,,,
high,700,50.0,inf,,,,
high,700,80.0,inf,,,,
high,700,120.0,inf,,,,
high,700,300.0,inf,,,,
high,800,1.0,inf,,,,
high,800,3.0,inf,,,,
high,800,5.0,inf,,,,
high,800,10.0,inf,,,,
high,800,30.0,inf,,,,
high,800,50.0,inf,,,,
high,800,80.0,inf,,,,
high,800,120.0,inf,,,,
high,800,300.0,inf,,,,
storm,200,1.0,14.12860798784756,1.1,1.5,2.0,10.0
storm,200,3.0,42.38582396354269,1.1,1.5,2.0,10.0
storm,200,5.0,70.64303993923772,1.1,1.5,2.0,30.0
storm,200,10.0,141.28607987847545,1.1,1.5,2.0,30.0
storm,200,30.0,423.85823963542623,1.1,1.5,2.0,30.0
storm,200,50.0,706.4303993923769,1.1,1.5,2.0,30.0
storm,200,80.0,1130.2886390278036,1.1,1.5,2.0,30.0
storm,200,120.0,1695.432958541705,1.1,1.5,2.0,30.0
storm,200,300.0,4238.582396354265,1.1,1.5,2.0,10.0
storm,250,1.0,60.04320721160918,1.1,1.5,2.0,30.0
storm,250,3.0,180.129621634828,1.1,1.5,2.0,10.0
storm,250,5.0,300.2160360580468,1.1,1.5,2.0,10.0
storm,250,10.0,600.4320721160937,1.1,1.5,2.0,10.0
storm,250,30.0,1801.2962163482848,1.1,1.5,2.0,10.0
storm,250,50.0,3002.1603605804735,1.1,1.5,2.0,10.0
storm,250,80.0,4803.456576928749,1.1,1.5,2.0,10.0
storm,250,120.0,7205.184865393139,1.1,1.5,2.0,10.0
storm,250,300.0,18012.962163482815,1.1,1.5,2.0,30.0
storm,300,1.0,183.26538901566812,1.1,1.5,2.0,30.0
storm,300,3.0,549.7961670470048,1.1,1.5,2.0,30.0
storm,300,5.0,916.3269450783431,1.1,1.5,2.0,10.0
storm,300,10.0,1832.6538901566862,1.1,1.5,2.0,10.0
storm,300,30.0,5497.961670470036,1.1,1.5,2.0,30.0
storm,300,50.0,9163.269450783428,1.1,1.5,2.0,30.0
storm,300,80.0,14661.23112125349,1.1,1.5,2.0,10.0
storm,300,120.0,21991.846681880143,1.1,1.5,2.0,30.0
storm,300,300.0,54979.61670470042,1.1,1.5,2.0,10.0
storm,350,1.0,471.47107379685474,1.1,1.5,2.0,10.0
storm,350,3.0,1414.4132213905682,1.1,1.5,2.0,10.0
storm,350,5.0,2357.355368984267,1.1,1.5,2.0,30.0
storm,350,10.0,4714.710737968534,1.1,1.5,2.0,30.0
storm,350,30.0,14144.132213905656,1.1,1.5,2.0,30.0
storm,350,50.0,23573.55368984273,1.1,1.5,2.0,10.0
storm,350,80.0,37717.68590374827,1.1,1.5,2.0,30.0
storm,350,120.0,56576.52885562262,1.1,1.5,2.0,30.0
storm,350,300.0,inf,,,,
storm,400,1.0,1091.7565462825924,1.1,1.5,2.0,10.0
storm,400,3.0,3275.269638847764,1.1,1.5,2.0,30.0
storm,400,5.0,5458.782731412981,1.1,1.5,2.0,10.0
storm,400,10.0,10917.565462825962,1.1,1.5,2.0,10.0
storm,400,30.0,32752.69638847792,1.1,1.5,2.0,10.0
storm,400,50.0,54587.82731412956,1.1,1.5,2.0,30.0
storm,400,80.0,inf,,,,
storm,400,120.0,inf,,,,
storm,400,300.0,inf,,,,
storm,450,1.0,2351.7028958508454,1.1,1.5,2.0,10.0
storm,450,3.0,7055.108687552557,1.1,1.5,2.0,10.0
storm,450,5.0,11758.514479254221,1.1,1.5,2.0,30.0
storm,450,10.0,23517.028958508443,1.1,1.5,2.0,30.0
storm,450,30.0,70551.08687552508,1.1,1.5,2.0,30.0
storm,450,50.0,inf,,,,
storm,450,80.0,inf,,,,
storm,450,120.0,inf,,,,
storm,450,300.0,inf,,,,
storm,500,1.0,4799.717107435847,1.1,1.5,2.0,10.0
storm,500,3.0,14399.151322307504,1.1,1.5,2.0,10.0
storm,500,5.0,23998.58553717921,1.1,1.5,2.0,30.0
storm,500,10.0,47997.17107435842,1.1,1.5,2.0,30.0
storm,500,30.0,inf,,,,
storm,500,50.0,inf,,,,
storm,500,80.0,inf,,,,
storm,500,120.0,inf,,,,
storm,500,300.0,inf,,,,
storm,550,1.0,9386.270312308025,1.1,1.5,2.0,10.0
storm,550,3.0,28158.81093692407,1.1,1.5,2.0,10.0
storm,550,5.0,46931.35156154,1.1,1.5,2.0,30.0
storm,550,10.0,inf,,,,
storm,550,30.0,inf,,,,
storm,550,50.0,inf,,,,
storm,550,80.0,inf,,,,
storm,550,120.0,inf,,,,
storm,550,300.0,inf,,,,
storm,600,1.0,17716.471601336947,1.1,1.5,2.0,30.0
storm,600,3.0,53149.41480401086,1.1,1.5,2.0,10.0
storm,600,5.0,inf,,,,
storm,600,10.0,inf,,,,
storm,600,30.0,inf,,,,
storm,600,50.0,inf,,,,
storm,600,80.0,inf,,,,
storm,600,120.0,inf,,,,
storm,600,300.0,inf,,,,
storm,700,1.0,57779.65772496804,1.1,1.5,2.0,30.0
storm,700,3.0,inf,,,,
storm,700,5.0,inf,,,,
storm,700,10.0,inf,,,,
storm,700,30.0,inf,,,,
storm,700,50.0,inf,,,,
storm,700,80.0,inf,,,,
storm,700,120.0,inf,,,,
storm,700,300.0,inf,,,,
storm,800,1.0,inf,,,,
storm,800,3.0,inf,,,,
storm,800,5.0,inf,,,,
storm,800,10.0,inf,,,,
storm,800,30.0,inf,,,,
storm,800,50.0,inf,,,,
storm,800,80.0,inf,,,,
storm,800,120.0,inf,,,,
storm,800,300.0,inf,,,,
