param,S1,ST,S1_conf,ST_conf,n_base,n_model_evals
delta_max,0.5086289925719549,0.5448017982858615,0.05468389181621856,0.05385877308909789,1024,8192
sigma_h_km,0.08737652909154657,0.14830337981784703,0.03193422043101111,0.019481988183673787,1024,8192
sigma_v_km,-0.0002570291266147306,0.0013408474616351381,0.0026224996026048223,0.00025479474044249565,1024,8192
rho_scale,0.022368684583350656,0.022915345715802046,0.014190800138416526,0.0024026392288807145,1024,8192
B_scale,0.008695885339371209,0.010316907023956873,0.009213275250426462,0.0010889675846887388,1024,8192
duration_h,0.2911433763448256,0.3471611002927464,0.05051327676272448,0.043254911093906966,1024,8192
