sigma_set,kappa_set,wind_set,criterion_h,n_combinations,frac_surviving,n_selective,frac_surviving_selective_sigma,n_selective_windy,frac_surviving_selective_windy,n_selective_wind100,frac_surviving_selective_wind100
frozen,frozen,frozen,0.5,27,0.6296296296296297,18,0.4444444444444444,12,0.25,12,0.25
frozen,frozen,frozen,1.0,27,0.4074074074074074,18,0.2777777777777778,12,0.0,12,0.0
frozen,frozen,frozen,3.0,27,0.2962962962962963,18,0.2777777777777778,12,0.0,12,0.0
frozen,frozen,frozen,6.0,27,0.2222222222222222,18,0.16666666666666666,12,0.0,12,0.0
frozen,frozen,no_zero_wind,0.5,36,0.5,24,0.25,24,0.25,18,0.16666666666666666
frozen,frozen,no_zero_wind,1.0,36,0.3333333333333333,24,0.125,24,0.125,18,0.0
frozen,frozen,no_zero_wind,3.0,36,0.08333333333333333,24,0.0,24,0.0,18,0.0
frozen,frozen,no_zero_wind,6.0,36,0.0,24,0.0,24,0.0,18,0.0
frozen,frozen,quiet_only,0.5,27,0.7407407407407407,18,0.6111111111111112,12,0.5,6,0.5
frozen,frozen,quiet_only,1.0,27,0.5555555555555556,18,0.3333333333333333,12,0.25,6,0.0
frozen,frozen,quiet_only,3.0,27,0.2222222222222222,18,0.0,12,0.0,6,0.0
frozen,frozen,quiet_only,6.0,27,0.1111111111111111,18,0.0,12,0.0,6,0.0
frozen,frozen,storm_included,0.5,36,0.4722222222222222,24,0.3333333333333333,18,0.16666666666666666,18,0.16666666666666666
frozen,frozen,storm_included,1.0,36,0.3055555555555556,24,0.20833333333333334,18,0.0,18,0.0
frozen,frozen,storm_included,3.0,36,0.2222222222222222,24,0.20833333333333334,18,0.0,18,0.0
frozen,frozen,storm_included,6.0,36,0.16666666666666666,24,0.125,18,0.0,18,0.0
frozen,log_uniform_9,frozen,0.5,81,0.654320987654321,54,0.48148148148148145,36,0.25,36,0.25
frozen,log_uniform_9,frozen,1.0,81,0.41975308641975306,54,0.2962962962962963,36,0.0,36,0.0
frozen,log_uniform_9,frozen,3.0,81,0.2962962962962963,54,0.2777777777777778,36,0.0,36,0.0
frozen,log_uniform_9,frozen,6.0,81,0.2716049382716049,54,0.24074074074074073,36,0.0,36,0.0
frozen,log_uniform_9,no_zero_wind,0.5,108,0.5,72,0.25,72,0.25,54,0.16666666666666666
