sigma_set,kappa_set,wind_set,criterion_h,n_combinations,frac_surviving,n_selective,frac_surviving_selective_sigma,n_selective_windy,frac_surviving_selective_windy,n_selective_wind100,frac_surviving_selective_wind100
frozen,log_uniform_9,no_zero_wind,1.0,108,0.3333333333333333,72,0.125,72,0.125,54,0.0
frozen,log_uniform_9,no_zero_wind,3.0,108,0.08333333333333333,72,0.0,72,0.0,54,0.0
frozen,log_uniform_9,no_zero_wind,6.0,108,0.0,72,0.0,72,0.0,54,0.0
frozen,log_uniform_9,quiet_only,0.5,81,0.7654320987654321,54,0.6481481481481481,36,0.5,18,0.5
frozen,log_uniform_9,quiet_only,1.0,81,0.5555555555555556,54,0.3333333333333333,36,0.25,18,0.0
frozen,log_uniform_9,quiet_only,3.0,81,0.2222222222222222,54,0.0,36,0.0,18,0.0
frozen,log_uniform_9,quiet_only,6.0,81,0.1111111111111111,54,0.0,36,0.0,18,0.0
frozen,log_uniform_9,storm_included,0.5,108,0.49074074074074076,72,0.3611111111111111,54,0.16666666666666666,54,0.16666666666666666
frozen,log_uniform_9,storm_included,1.0,108,0.3148148148148148,72,0.2222222222222222,54,0.0,54,0.0
frozen,log_uniform_9,storm_included,3.0,108,0.2222222222222222,72,0.20833333333333334,54,0.0,54,0.0
frozen,log_uniform_9,storm_included,6.0,108,0.2037037037037037,72,0.18055555555555555,54,0.0,54,0.0
frozen,conservative_low,frozen,0.5,27,0.6666666666666666,18,0.5,12,0.25,12,0.25
frozen,conservative_low,frozen,1.0,27,0.4444444444444444,18,0.3333333333333333,12,0.0,12,0.0
frozen,conservative_low,frozen,3.0,27,0.3333333333333333,18,0.3333333333333333,12,0.0,12,0.0
frozen,conservative_low,frozen,6.0,27,0.2962962962962963,18,0.2777777777777778,12,0.0,12,0.0
frozen,conservative_low,no_zero_wind,0.5,36,0.5,24,0.25,24,0.25,18,0.16666666666666666
frozen,conservative_low,no_zero_wind,1.0,36,0.3333333333333333,24,0.125,24,0.125,18,0.0
frozen,conservative_low,no_zero_wind,3.0,36,0.08333333333333333,24,0.0,24,0.0,18,0.0
frozen,conservative_low,no_zero_wind,6.0,36,0.0,24,0.0,24,0.0,18,0.0
frozen,conservative_low,quiet_only,0.5,27,0.7777777777777778,18,0.6666666666666666,12,0.5,6,0.5
frozen,conservative_low,quiet_only,1.0,27,0.5555555555555556,18,0.3333333333333333,12,0.25,6,0.0
frozen,conservative_low,quiet_only,3.0,27,0.2222222222222222,18,0.0,12,0.0,6,0.0
frozen,conservative_low,quiet_only,6.0,27,0.1111111111111111,18,0.0,12,0.0,6,0.0
frozen,conservative_low,storm_included,0.5,36,0.5,24,0.375,18,0.16666666666666666,18,0.16666666666666666
frozen,conservative_low,storm_included,1.0,36,0.3333333333333333,24,0.25,18,0.0,18,0.0
frozen,conservative_low,storm_included,3.0,36,0.25,24,0.25,18,0.0,18,0.0
frozen,conservative_low,storm_included,6.0,36,0.2222222222222222,24,0.20833333333333334,18,0.0,18,0.0
selective_only,frozen,frozen,0.5,27,0.4074074074074074,27,0.4074074074074074,18,0.16666666666666666,18,0.16666666666666666
selective_only,frozen,frozen,1.0,27,0.2962962962962963,27,0.2962962962962963,18,0.0,18,0.0
selective_only,frozen,frozen,3.0,27,0.25925925925925924,27,0.25925925925925924,18,0.0,18,0.0
selective_only,frozen,frozen,6.0,27,0.18518518518518517,27,0.18518518518518517,18,0.0,18,0.0
selective_only,frozen,no_zero_wind,0.5,36,0.25,36,0.25,36,0.25,27,0.1111111111111111
selective_only,frozen,no_zero_wind,1.0,36,0.08333333333333333,36,0.08333333333333333,36,0.08333333333333333,27,0.0
selective_only,frozen,no_zero_wind,3.0,36,0.0,36,0.0,36,0.0,27,0.0
selective_only,frozen,no_zero_wind,6.0,36,0.0,36,0.0,36,0.0,27,0.0
selective_only,frozen,quiet_only,0.5,27,0.6296296296296297,27,0.6296296296296297,18,0.5,9,0.3333333333333333
selective_only,frozen,quiet_only,1.0,27,0.3333333333333333,27,0.3333333333333333,18,0.16666666666666666,9,0.0
selective_only,frozen,quiet_only,3.0,27,0.0,27,0.0,18,0.0,9,0.0
selective_only,frozen,quiet_only,6.0,27,0.0,27,0.0,18,0.0,9,0.0
selective_only,frozen,storm_included,0.5,36,0.3055555555555556,36,0.3055555555555556,27,0.1111111111111111,27,0.1111111111111111
selective_only,frozen,storm_included,1.0,36,0.2222222222222222,36,0.2222222222222222,27,0.0,27,0.0
selective_only,frozen,storm_included,3.0,36,0.19444444444444445,36,0.19444444444444445,27,0.0,27,0.0
selective_only,frozen,storm_included,6.0,36,0.1388888888888889,36,0.1388888888888889,27,0.0,27,0.0
selective_only,log_uniform_9,frozen,0.5,81,0.43209876543209874,81,0.43209876543209874,54,0.16666666666666666,54,0.16666666666666666
selective_only,log_uniform_9,frozen,1.0,81,0.30864197530864196,81,0.30864197530864196,54,0.0,54,0.0
selective_only,log_uniform_9,frozen,3.0,81,0.2839506172839506,81,0.2839506172839506,54,0.0,54,0.0
selective_only,log_uniform_9,frozen,6.0,81,0.24691358024691357,81,0.24691358024691357,54,0.0,54,0.0
selective_only,log_uniform_9,no_zero_wind,0.5,108,0.25,108,0.25,108,0.25,81,0.1111111111111111
selective_only,log_uniform_9,no_zero_wind,1.0,108,0.08333333333333333,108,0.08333333333333333,108,0.08333333333333333,81,0.0
selective_only,log_uniform_9,no_zero_wind,3.0,108,0.0,108,0.0,108,0.0,81,0.0
selective_only,log_uniform_9,no_zero_wind,6.0,108,0.0,108,0.0,108,0.0,81,0.0
selective_only,log_uniform_9,quiet_only,0.5,81,0.654320987654321,81,0.654320987654321,54,0.5,27,0.3333333333333333
selective_only,log_uniform_9,quiet_only,1.0,81,0.3333333333333333,81,0.3333333333333333,54,0.16666666666666666,27,0.0
selective_only,log_uniform_9,quiet_only,3.0,81,0.0,81,0.0,54,0.0,27,0.0
selective_only,log_uniform_9,quiet_only,6.0,81,0.0,81,0.0,54,0.0,27,0.0
selective_only,log_uniform_9,storm_included,0.5,108,0.32407407407407407,108,0.32407407407407407,81,0.1111111111111111,81,0.1111111111111111
selective_only,log_uniform_9,storm_included,1.0,108,0.23148148148148148,108,0.23148148148148148,81,0.0,81,0.0
selective_only,log_uniform_9,storm_included,3.0,108,0.21296296296296297,108,0.21296296296296297,81,0.0,81,0.0
selective_only,log_uniform_9,storm_included,6.0,108,0.18518518518518517,108,0.18518518518518517,81,0.0,81,0.0
selective_only,conservative_low,frozen,0.5,27,0.4444444444444444,27,0.4444444444444444,18,0.16666666666666666,18,0.16666666666666666
selective_only,conservative_low,frozen,1.0,27,0.3333333333333333,27,0.3333333333333333,18,0.0,18,0.0
selective_only,conservative_low,frozen,3.0,27,0.3333333333333333,27,0.3333333333333333,18,0.0,18,0.0
selective_only,conservative_low,frozen,6.0,27,0.2962962962962963,27,0.2962962962962963,18,0.0,18,0.0
selective_only,conservative_low,no_zero_wind,0.5,36,0.25,36,0.25,36,0.25,27,0.1111111111111111
selective_only,conservative_low,no_zero_wind,1.0,36,0.08333333333333333,36,0.08333333333333333,36,0.08333333333333333,27,0.0
selective_only,conservative_low,no_zero_wind,3.0,36,0.0,36,0.0,36,0.0,27,0.0
selective_only,conservative_low,no_zero_wind,6.0,36,0.0,36,0.0,36,0.0,27,0.0
selective_only,conservative_low,quiet_only,0.5,27,0.6666666666666666,27,0.6666666666666666,18,0.5,9,0.3333333333333333
selective_only,conservative_low,quiet_only,1.0,27,0.3333333333333333,27,0.3333333333333333,18,0.16666666666666666,9,0.0
selective_only,conservative_low,quiet_only,3.0,27,0.0,27,0.0,18,0.0,9,0.0
selective_only,conservative_low,quiet_only,6.0,27,0.0,27,0.0,18,0.0,9,0.0
selective_only,conservative_low,storm_included,0.5,36,0.3333333333333333,36,0.3333333333333333,27,0.1111111111111111,27,0.1111111111111111
selective_only,conservative_low,storm_included,1.0,36,0.25,36,0.25,27,0.0,27,0.0
selective_only,conservative_low,storm_included,3.0,36,0.25,36,0.25,27,0.0,27,0.0
selective_only,conservative_low,storm_included,6.0,36,0.2222222222222222,36,0.2222222222222222,27,0.0,27,0.0
fine,frozen,frozen,0.5,54,0.5185185185185185,36,0.3611111111111111,24,0.125,24,0.125
fine,frozen,frozen,1.0,54,0.3888888888888889,36,0.25,24,0.0,24,0.0
fine,frozen,frozen,3.0,54,0.25925925925925924,36,0.2222222222222222,24,0.0,24,0.0
fine,frozen,frozen,6.0,54,0.2222222222222222,36,0.16666666666666666,24,0.0,24,0.0
fine,frozen,no_zero_wind,0.5,72,0.4166666666666667,48,0.1875,48,0.1875,36,0.08333333333333333
fine,frozen,no_zero_wind,1.0,72,0.25,48,0.0625,48,0.0625,36,0.0
fine,frozen,no_zero_wind,3.0,72,0.041666666666666664,48,0.0,48,0.0,36,0.0
fine,frozen,no_zero_wind,6.0,72,0.0,48,0.0,48,0.0,36,0.0
fine,frozen,quiet_only,0.5,54,0.6481481481481481,36,0.4722222222222222,24,0.375,12,0.25
fine,frozen,quiet_only,1.0,54,0.5,36,0.25,24,0.125,12,0.0
fine,frozen,quiet_only,3.0,54,0.16666666666666666,36,0.0,24,0.0,12,0.0
fine,frozen,quiet_only,6.0,54,0.05555555555555555,36,0.0,24,0.0,12,0.0
fine,frozen,storm_included,0.5,72,0.3888888888888889,48,0.2708333333333333,36,0.08333333333333333,36,0.08333333333333333
fine,frozen,storm_included,1.0,72,0.2916666666666667,48,0.1875,36,0.0,36,0.0
fine,frozen,storm_included,3.0,72,0.19444444444444445,48,0.16666666666666666,36,0.0,36,0.0
fine,frozen,storm_included,6.0,72,0.16666666666666666,48,0.125,36,0.0,36,0.0
fine,log_uniform_9,frozen,0.5,162,0.5308641975308642,108,0.37962962962962965,72,0.125,72,0.125
fine,log_uniform_9,frozen,1.0,162,0.41358024691358025,108,0.28703703703703703,72,0.0,72,0.0
fine,log_uniform_9,frozen,3.0,162,0.2777777777777778,108,0.25,72,0.0,72,0.0
fine,log_uniform_9,frozen,6.0,162,0.25925925925925924,108,0.2222222222222222,72,0.0,72,0.0
fine,log_uniform_9,no_zero_wind,0.5,216,0.4166666666666667,144,0.1875,144,0.1875,108,0.08333333333333333
fine,log_uniform_9,no_zero_wind,1.0,216,0.25,144,0.0625,144,0.0625,108,0.0
fine,log_uniform_9,no_zero_wind,3.0,216,0.041666666666666664,144,0.0,144,0.0,108,0.0
fine,log_uniform_9,no_zero_wind,6.0,216,0.0,144,0.0,144,0.0,108,0.0
fine,log_uniform_9,quiet_only,0.5,162,0.6604938271604939,108,0.49074074074074076,72,0.375,36,0.25
fine,log_uniform_9,quiet_only,1.0,162,0.5,108,0.25,72,0.125,36,0.0
fine,log_uniform_9,quiet_only,3.0,162,0.16666666666666666,108,0.0,72,0.0,36,0.0
fine,log_uniform_9,quiet_only,6.0,162,0.05555555555555555,108,0.0,72,0.0,36,0.0
fine,log_uniform_9,storm_included,0.5,216,0.39814814814814814,144,0.2847222222222222,108,0.08333333333333333,108,0.08333333333333333
fine,log_uniform_9,storm_included,1.0,216,0.3101851851851852,144,0.2152777777777778,108,0.0,108,0.0
fine,log_uniform_9,storm_included,3.0,216,0.20833333333333334,144,0.1875,108,0.0,108,0.0
fine,log_uniform_9,storm_included,6.0,216,0.19444444444444445,144,0.16666666666666666,108,0.0,108,0.0
fine,conservative_low,frozen,0.5,54,0.5555555555555556,36,0.4166666666666667,24,0.125,24,0.125
fine,conservative_low,frozen,1.0,54,0.42592592592592593,36,0.3055555555555556,24,0.0,24,0.0
fine,conservative_low,frozen,3.0,54,0.3148148148148148,36,0.3055555555555556,24,0.0,24,0.0
fine,conservative_low,frozen,6.0,54,0.2962962962962963,36,0.2777777777777778,24,0.0,24,0.0
fine,conservative_low,no_zero_wind,0.5,72,0.4166666666666667,48,0.1875,48,0.1875,36,0.08333333333333333
fine,conservative_low,no_zero_wind,1.0,72,0.25,48,0.0625,48,0.0625,36,0.0
fine,conservative_low,no_zero_wind,3.0,72,0.041666666666666664,48,0.0,48,0.0,36,0.0
fine,conservative_low,no_zero_wind,6.0,72,0.0,48,0.0,48,0.0,36,0.0
fine,conservative_low,quiet_only,0.5,54,0.6666666666666666,36,0.5,24,0.375,12,0.25
fine,conservative_low,quiet_only,1.0,54,0.5,36,0.25,24,0.125,12,0.0
fine,conservative_low,quiet_only,3.0,54,0.16666666666666666,36,0.0,24,0.0,12,0.0
fine,conservative_low,quiet_only,6.0,54,0.05555555555555555,36,0.0,24,0.0,12,0.0
fine,conservative_low,storm_included,0.5,72,0.4166666666666667,48,0.3125,36,0.08333333333333333,36,0.08333333333333333
fine,conservative_low,storm_included,1.0,72,0.3194444444444444,48,0.22916666666666666,36,0.0,36,0.0
fine,conservative_low,storm_included,3.0,72,0.2361111111111111,48,0.22916666666666666,36,0.0,36,0.0
fine,conservative_low,storm_included,6.0,72,0.2222222222222222,48,0.20833333333333334,36,0.0,36,0.0
