scenario,pair,target_dv_ms,protected_dv_ms,protected_class,protected_n_sigma,protected_encounters,protected_rel_to_natural,selectivity_ratio,ratio_status,ratio_meaningful
uniform,A,7.967295160603104,0.432725679866959,physical_exposure,-0.0,1,5.000000000000023,18.41188432138495,physical,True
uniform,D,0.16303641530081098,0.03827561758763696,physical_exposure,-0.0,1,4.9999999999999964,4.259537156455232,physical,True
uniform,E,2.307067256297784,0.494758562118679,physical_exposure,-0.0,1,4.999999999999999,4.663016333498806,physical,True
uniform,G,65.1426538175347,13.187795271784507,physical_exposure,-0.0,1,5.000000000000013,4.939616704310569,physical,True
localized_tracking,A,3.530255998915804,4.246269726294484e-06,gaussian_tail,4.774055887398435,1,5.358289703121624e-05,831378.1804898413,tail_limited,False
localized_tracking,D,0.16281211673601892,1.2737401342320876e-81,no_encounter,19.096756504715916,0,1.7121574237636737e-79,1.278220826685147e+80,undefined_no_encounter,False
localized_tracking,E,1.8542375161700977,0.00617976411059254,physical_exposure,0.16585834767413113,29,0.06278654492862273,300.04988588347686,physical,True
localized_tracking,G,12.622879388169855,6.0490682525904856e-80,no_encounter,19.096756505074055,0,1.6756174661377776e-79,2.086747720653369e+80,undefined_no_encounter,False
optimized_localized,A,3.5192308751770955,3.69099074125078e-06,gaussian_tail,4.774055887322184,1,5.3569163562007296e-05,953465.1051399063,tail_limited,False
