N_base,n_model_evals,param,S1,S1_conf,ST,ST_conf,S1_minus_ST,ordering_violation,sum_S1,y_mean,y_std,wall_s
32,256,delta_max,0.8029373255309565,0.2545901001163037,0.5488846973700894,0.1827260010714076,0.25405262816086716,False,1.2804036170112,3.4986291170627775,1.500764974904373,9.802664995193481
32,256,sigma_h_km,0.05216233356680107,0.11383001668762321,0.07368406697820218,0.05042366288066964,-0.02152173341140111,False,1.2804036170112,3.4986291170627775,1.500764974904373,9.802664995193481
32,256,sigma_v_km,0.007035877456013361,0.01075197414016762,0.0010948945393102515,0.0011262996160489092,0.005940982916703109,False,1.2804036170112,3.4986291170627775,1.500764974904373,9.802664995193481
32,256,rho_scale,0.05127207429763224,0.05646786237155893,0.022542729018974226,0.014141025443174369,0.028729345278658013,False,1.2804036170112,3.4986291170627775,1.500764974904373,9.802664995193481
32,256,B_scale,0.00957652197229775,0.04677104132247574,0.006277004380557125,0.003565782406559769,0.0032995175917406253,False,1.2804036170112,3.4986291170627775,1.500764974904373,9.802664995193481
32,256,duration_h,0.3574194841874992,0.3150863815427678,0.42855787633842835,0.18968087741341183,-0.07113839215092915,False,1.2804036170112,3.4986291170627775,1.500764974904373,9.802664995193481
256,2048,delta_max,0.5098512902332664,0.13637466194066078,0.5548127188669242,0.08329723059799655,-0.04496142863365782,False,0.9313307008645841,3.505894540844495,1.4951111866666633,81.98999190330505
256,2048,sigma_h_km,0.08395953785844362,0.06485515020600124,0.15086749275415967,0.03909204770394008,-0.06690795489571605,False,0.9313307008645841,3.505894540844495,1.4951111866666633,81.98999190330505
256,2048,sigma_v_km,0.0036038809398576295,0.0035887890292050093,0.001145977084571101,0.0006038212084978347,0.0024579038552865282,False,0.9313307008645841,3.505894540844495,1.4951111866666633,81.98999190330505
256,2048,rho_scale,0.028537029549997126,0.028681785003789286,0.024152515920458258,0.005707627486414641,0.0043845136295388686,False,0.9313307008645841,3.505894540844495,1.4951111866666633,81.98999190330505
256,2048,B_scale,0.007886814069778474,0.01806949894028781,0.01065802928551569,0.0024685372978955756,-0.0027712152157372168,False,0.9313307008645841,3.505894540844495,1.4951111866666633,81.98999190330505
256,2048,duration_h,0.29749214821324094,0.09847242048945198,0.36973218339276237,0.08088172325376373,-0.07224003517952143,False,0.9313307008645841,3.505894540844495,1.4951111866666633,81.98999190330505
512,4096,delta_max,0.5154597616164827,0.07385369874153234,0.5597082296118611,0.0730769202736696,-0.044248467995378404,False,0.9445544474613436,3.5059617706882817,1.4903925334455765,155.40045309066772
512,4096,sigma_h_km,0.09379979775575537,0.04172695935167121,0.14950625581923818,0.02975289364268091,-0.05570645806348282,False,0.9445544474613436,3.5059617706882817,1.4903925334455765,155.40045309066772
512,4096,sigma_v_km,-5.643809307103986e-05,0.004150585328119186,0.0013294566150069134,0.00048197876585740883,-0.0013858947080779532,False,0.9445544474613436,3.5059617706882817,1.4903925334455765,155.40045309066772
512,4096,rho_scale,0.02270451550189419,0.01958455461688796,0.024655213217323,0.004272327606836008,-0.0019506977154288077,False,0.9445544474613436,3.5059617706882817,1.4903925334455765,155.40045309066772
512,4096,B_scale,0.0066540368044059415,0.011660937315456966,0.010334156040630751,0.0016176760370181572,-0.0036801192362248096,False,0.9445544474613436,3.5059617706882817,1.4903925334455765,155.40045309066772
512,4096,duration_h,0.3059927738758764,0.08337489003547559,0.363011675069928,0.0617302940088201,-0.05701890119405156,False,0.9445544474613436,3.5059617706882817,1.4903925334455765,155.40045309066772
1024,8192,delta_max,0.5086289925719549,0.05553113271976788,0.5448017982858615,0.04743838962582118,-0.036172805713906575,False,0.9179564388044341,3.508008804809729,1.4924331338376564,316.18754601478577
1024,8192,sigma_h_km,0.08737652909154657,0.02947476284442647,0.14830337981784703,0.016975977310352167,-0.060926850726300455,False,0.9179564388044341,3.508008804809729,1.4924331338376564,316.18754601478577
1024,8192,sigma_v_km,-0.0002570291266147306,0.0026811008375991954,0.0013408474616351381,0.00030756796415587354,-0.0015978765882498688,False,0.9179564388044341,3.508008804809729,1.4924331338376564,316.18754601478577
1024,8192,rho_scale,0.022368684583350656,0.013034271349039436,0.022915345715802046,0.002334961489904423,-0.0005466611324513905,False,0.9179564388044341,3.508008804809729,1.4924331338376564,316.18754601478577
1024,8192,B_scale,0.008695885339371209,0.008735280499189512,0.010316907023956873,0.0011150934232636385,-0.0016210216845856645,False,0.9179564388044341,3.508008804809729,1.4924331338376564,316.18754601478577
1024,8192,duration_h,0.2911433763448256,0.05103294317265675,0.3471611002927464,0.03561540918165226,-0.05601772394792076,False,0.9179564388044341,3.508008804809729,1.4924331338376564,316.18754601478577
2048,16384,delta_max,0.5101272602592656,0.04087975412203905,0.5442382109918786,0.03458439019498093,-0.034110950732613055,False,0.9271908034848821,3.507770068421216,1.491069991336003,644.0190346240997
2048,16384,sigma_h_km,0.09337796987208057,0.022319041928425005,0.150428423251513,0.011981451163012443,-0.057050453379432445,False,0.9271908034848821,3.507770068421216,1.491069991336003,644.0190346240997
2048,16384,sigma_v_km,0.00010558791789055105,0.0018341354847645024,0.0012310091503606373,0.00018137526490134102,-0.0011254212324700863,False,0.9271908034848821,3.507770068421216,1.491069991336003,644.0190346240997
2048,16384,rho_scale,0.021318757743472878,0.008957051298779337,0.02314677925258489,0.0017248620738365647,-0.001828021509112012,False,0.9271908034848821,3.507770068421216,1.491069991336003,644.0190346240997
2048,16384,B_scale,0.008792013322772248,0.006194921044759441,0.010395439646308142,0.000733444238853266,-0.001603426323535894,False,0.9271908034848821,3.507770068421216,1.491069991336003,644.0190346240997
2048,16384,duration_h,0.2934692143694004,0.0349596111868738,0.34678863145457944,0.02575429606747471,-0.053319417085179066,False,0.9271908034848821,3.507770068421216,1.491069991336003,644.0190346240997
