experiment,t_s,case,obj_type,extra_deltav_ms,encounter_count,a_drop_km
tracking_4h_window,43200.0,A_target_highAm_400,target,1.1289035631452404,1,280.0
tracking_4h_window,43200.0,A_protected_400,protected,7.026957370284121e-07,1,6.467457541953081
tracking_4h_window,50400.0,A_target_highAm_400,target,1.0649583685575974,1,280.0
tracking_4h_window,50400.0,A_protected_400,protected,6.734966699141657e-07,1,6.435176037922247
tracking_4h_window,57600.0,A_target_highAm_400,target,1.0136501201848893,1,280.0
tracking_4h_window,57600.0,A_protected_400,protected,6.55178306452552e-07,1,6.450957882255352
tracking_4h_window,64800.0,A_target_highAm_400,target,0.9596900013140753,1,280.0
tracking_4h_window,64800.0,A_protected_400,protected,6.383122775751386e-07,1,6.473753519049751
tracking_4h_window,72000.0,A_target_highAm_400,target,0.8604673816068626,1,280.0
tracking_4h_window,72000.0,A_protected_400,protected,6.070439200705801e-07,1,6.438674036250632
tracking_4h_window,79200.0,A_target_highAm_400,target,0.7512638633538619,1,280.0
tracking_4h_window,79200.0,A_protected_400,protected,5.783799730951246e-07,1,6.447973040155375
