delta_max,sigma_h_km,duration_s,target_dv_ms,target_a_drop_km,protected_dv_ms,protected_a_drop_km,selectivity,on_pareto_front
1.0,50.0,14400.0,0.0002476042825417391,0.10600108820926835,5.461344554391107e-85,0.006593371453163854,4.533760506698974e+80,True
1.0,50.0,43200.0,0.0007439654005319832,0.10688023899001564,1.6145736386048834e-84,0.006593371453163854,4.6078133740299816e+80,True
1.0,50.0,86400.0,0.0014909189383004837,0.10820320699167496,3.1951777623552647e-84,0.006593371453163854,4.666153338528123e+80,True
1.0,100.0,14400.0,0.0002476042825417945,0.10600108820926835,2.0654927994684026e-25,0.006593371453163854,1.1987661375799548e+21,False
1.0,100.0,43200.0,0.0007439657021957171,0.10688023952297954,6.192600637020663e-25,0.006593371453163854,1.2013784608491213e+21,False
1.0,100.0,86400.0,0.0014909363607235181,0.10820323784628272,1.2365846887300556e-24,0.006593371453163854,1.2056888414611343e+21,False
1.0,200.0,14400.0,0.0002476042825418086,0.10600108820926835,1.6578387646912397e-10,0.006593371746021148,1493536.5719230426,False
1.0,200.0,43200.0,0.0007439657776116954,0.10688023965758475,4.98508771048318e-10,0.006593372335373715,1492382.523274774,False
1.0,200.0,86400.0,0.0014909407164302381,0.10820324556425476,9.98066953116093e-10,0.006593373217583576,1493828.3566802107,False
1.0,400.0,14400.0,0.00024760428254181206,0.10600108820926835,8.837411617375598e-07,0.006594933897758892,280.1773791491019,False
1.0,400.0,43200.0,0.0007439657964656925,0.10688023969032656,2.659233400003065e-06,0.0065980729395960225,279.76701724069613,False
1.0,400.0,86400.0,0.001490941805363218,0.10820324749238353,5.327615804187195e-06,0.006602790607757925,279.8515996952004,False
2.0,50.0,14400.0,0.0004952085650834782,0.10643964733299072,1.0922689108782215e-84,0.006593371453163854,4.533760506698974e+80,True
2.0,50.0,43200.0,0.0014879386091148797,0.10819796236501134,3.229147277209767e-84,0.006593371453163854,4.6078375539457394e+80,False
2.0,50.0,86400.0,0.002981835238431845,0.11084387933169637,6.390355524710529e-84,0.006593371453163854,4.6661492101676397e+80,True
2.0,100.0,14400.0,0.000495208565083589,0.10643964733299072,4.1309855989368053e-25,0.006593371453163854,1.1987661375799548e+21,False
2.0,100.0,43200.0,0.0014879399128646042,0.1081979646723994,1.2385201274041326e-24,0.006593371453163854,1.2013853307198497e+21,False
2.0,100.0,86400.0,0.00298191148740088,0.11084401437346969,2.473169377460111e-24,0.006593371453163854,1.205704516066439e+21,False
2.0,200.0,14400.0,0.0004952085650836172,0.10643964733299072,3.3156775293824793e-10,0.006593372039787937,1493536.5719230426,False
2.0,200.0,43200.0,0.001487940238802441,0.10819796525083802,9.97017541828856e-10,0.006593373215764586,1492391.233230533,False
2.0,200.0,86400.0,0.0029819305506572124,0.11084404813391302,1.9961339031693117e-09,0.006593374983822287,1493852.9654361997,False
2.0,400.0,14400.0,0.0004952085650836241,0.10643964733299072,1.7674823234751196e-06,0.0065964963414444355,280.1773791491019,False
2.0,400.0,43200.0,0.0014879403202869253,0.10819796539544768,5.3184649811596165e-06,0.0066027744323946536,279.76875387125347,False
2.0,400.0,86400.0,0.0029819353165346785,0.11084405658129981,1.0655210287435186e-05,0.006612209710510797,279.8570123060856,False
5.0,50.0,14400.0,0.0012380214127086949,0.10775532464867865,2.730672277195559e-84,0.006593371453163854,4.533760506698963e+80,True
5.0,50.0,43200.0,0.0037198997495377943,0.11215120585620753,8.072868193024441e-84,0.006593371453163854,4.607903486832678e+80,True
5.0,50.0,86400.0,0.007454248126248491,0.11876529990331619,1.5975888811776352e-83,0.006593371453163854,4.6659364083416254e+80,True
5.0,100.0,14400.0,0.0012380214127089718,0.10775532464867865,1.0327463997342002e-24,0.006593371453163854,1.1987661375799553e+21,False
5.0,100.0,43200.0,0.003719912260763153,0.11215122801877442,3.0963003185103293e-24,0.006593371453163854,1.2014055091893837e+21,False
5.0,100.0,86400.0,0.007454989354069359,0.11876661272799538,6.182923443650277e-24,0.006593371453163854,1.2057385833760348e+21,False
5.0,200.0,14400.0,0.0012380214127090412,0.10775532464867865,8.289193823456191e-10,0.006593372919269314,1493536.571923042,False
5.0,200.0,43200.0,0.0037199153885844535,0.11215123355941614,2.4925438525650785e-09,0.006593375859665684,1492417.2285900952,False
5.0,200.0,86400.0,0.007455174701170875,0.11876694099646556,4.990334734946557e-09,0.006593380276171956,1493922.7721466091,False
5.0,400.0,14400.0,0.0012380214127090579,0.10775532464867865,4.4187058086878e-06,0.006601183675229549,280.1773791491013,False
5.0,400.0,43200.0,0.0037199161705407137,0.11215123494457657,1.3296148811568444e-05,0.006616878872591769,279.7739573510312,False
