number,citation_key
1,liou2006risk
2,iadc2021
3,shan2016adr
4,phipps2012lodr
5,bruinsma2006storm
6,parker2024gannon
7,berger2023starlink
8,picone2002nrlmsise
9,nrlmsis_code
10,emmert2015review
11,bowman2008jb2008
12,kinghele1987
13,moe2005gassurface
14,vallado2008sgp4
15,drob2015hwm14
16,bruinsma2007tad
17,knipp2004heating
